WMU,Year,Active Hunters,Harvest
01A,2012,1,0
01A,2013,6,0
01A,2014,6,2
01A,2015,8,2
01A,2016,0,0
01A,2017,6,0
01A,2018,8,0
01C,2012,21,5
01C,2013,32,1
01C,2014,47,9
01C,2015,76,5
01C,2016,79,2
01C,2017,97,16
01C,2018,119,6
01D,2012,13,3
01D,2013,9,0
01D,2014,2,0
01D,2015,10,1
01D,2016,8,4
01D,2017,11,0
01D,2018,14,0
2,2012,31,7
2,2013,39,11
2,2014,36,11
2,2015,50,10
2,2016,42,18
2,2017,59,14
2,2018,46,10
3,2012,173,56
3,2013,179,70
3,2014,175,82
3,2015,184,64
3,2016,234,76
3,2017,208,83
3,2018,190,62
4,2012,152,54
4,2013,137,51
4,2014,159,68
4,2015,179,57
4,2016,152,66
4,2017,173,74
4,2018,207,73
5,2012,396,197
5,2013,363,146
5,2014,414,183
5,2015,372,164
5,2016,496,288
5,2017,475,267
5,2018,525,289
6,2012,93,72
6,2013,105,68
6,2014,102,55
6,2015,102,62
6,2016,132,97
6,2017,131,83
6,2018,120,88
07A,2012,13,9
07A,2013,19,19
07A,2014,26,9
07A,2015,17,7
07A,2016,26,14
07A,2017,19,5
07A,2018,21,6
07B,2012,198,121
07B,2013,148,66
07B,2014,131,50
07B,2015,148,56
07B,2016,172,73
07B,2017,148,81
07B,2018,157,87
8,2012,179,85
8,2013,133,42
8,2014,174,74
8,2015,157,73
8,2016,190,98
8,2017,165,87
8,2018,173,77
09A,2012,84,59
09A,2013,107,49
09A,2014,87,33
09A,2015,113,47
09A,2016,131,75
09A,2017,139,66
09A,2018,124,74
09B,2012,105,58
09B,2013,106,43
09B,2014,105,42
09B,2015,90,51
09B,2016,90,50
09B,2017,97,53
09B,2018,92,53
10,2012,123,58
10,2013,104,41
10,2014,121,51
10,2015,142,47
10,2016,141,72
10,2017,114,60
10,2018,139,63
11A,2012,39,16
11A,2013,68,22
11A,2014,57,26
11A,2015,64,28
11A,2016,55,32
11A,2017,55,27
11A,2018,83,33
11B,2012,25,3
11B,2013,41,7
11B,2014,37,2
11B,2015,38,7
11B,2016,49,8
11B,2017,34,13
11B,2018,47,3
12A,2012,54,26
12A,2013,89,30
12A,2014,86,39
12A,2015,116,35
12A,2016,54,18
12A,2017,106,47
12A,2018,59,15
12B,2012,181,88
12B,2013,200,80
12B,2014,179,64
12B,2015,194,74
12B,2016,258,102
12B,2017,234,68
12B,2018,219,83
13,2012,445,202
13,2013,475,157
13,2014,607,178
13,2015,581,250
13,2016,524,232
13,2017,519,191
13,2018,494,141
14,2012,18,4
14,2013,20,3
14,2014,20,0
14,2015,27,11
14,2016,26,2
14,2017,19,4
14,2018,18,1
15A,2012,266,150
15A,2013,298,134
15A,2014,303,126
15A,2015,315,140
15A,2016,321,168
15A,2017,309,120
15A,2018,271,107
15B,2012,467,103
15B,2013,512,118
15B,2014,406,75
15B,2015,488,85
15B,2016,540,129
15B,2017,539,154
15B,2018,452,134
16A,2012,20,0
16A,2013,30,4
16A,2014,39,7
16A,2015,42,9
16A,2016,80,13
16A,2017,67,15
16A,2018,81,7
16B,2012,102,39
16B,2013,98,41
16B,2014,96,37
16B,2015,123,46
16B,2016,164,65
16B,2017,175,64
16B,2018,181,50
16C,2012,111,29
16C,2013,117,35
16C,2014,100,27
16C,2015,126,42
16C,2016,128,37
16C,2017,128,49
16C,2018,115,43
17,2012,47,6
17,2013,44,3
17,2014,60,3
17,2015,71,12
17,2016,71,8
17,2017,85,5
17,2018,58,7
18A,2012,128,34
18A,2013,160,32
18A,2014,164,27
18A,2015,196,42
18A,2016,222,67
18A,2017,258,60
18A,2018,261,39
18B,2012,39,1
18B,2013,51,2
18B,2014,34,0
18B,2015,46,7
18B,2016,86,26
18B,2017,85,10
18B,2018,55,10
19,2012,277,97
19,2013,270,77
19,2014,310,130
19,2015,346,130
19,2016,428,128
19,2017,430,120
19,2018,375,100
21A,2012,554,97
21A,2013,625,148
21A,2014,669,118
21A,2015,674,170
21A,2016,760,177
21A,2017,629,121
21A,2018,646,90
21B,2012,468,185
21B,2013,460,155
21B,2014,427,143
21B,2015,537,188
21B,2016,665,228
21B,2017,592,146
21B,2018,529,141
22,2012,218,105
22,2013,246,99
22,2014,246,102
22,2015,255,98
22,2016,289,133
22,2017,247,67
22,2018,252,94
23,2012,214,59
23,2013,215,65
23,2014,163,49
23,2015,226,44
23,2016,308,61
23,2017,252,58
23,2018,255,40
24,2012,150,39
24,2013,191,57
24,2014,199,45
24,2015,267,56
24,2016,358,61
24,2017,311,65
24,2018,272,51
25,2012,30,4
25,2013,35,1
25,2014,35,0
25,2015,29,2
25,2016,45,4
25,2017,39,2
25,2018,37,0
26,2012,110,7
26,2013,122,24
26,2014,107,11
26,2015,189,16
26,2016,213,23
26,2017,221,26
26,2018,213,31
27,2012,212,64
27,2013,231,108
27,2014,212,65
27,2015,234,78
27,2016,313,107
27,2017,315,79
27,2018,340,96
28,2012,1089,345
28,2013,1130,318
28,2014,1001,250
28,2015,1171,460
28,2016,1391,441
28,2017,1350,390
28,2018,1204,397
29,2012,543,154
29,2013,560,118
29,2014,796,131
29,2015,884,239
29,2016,811,193
29,2017,674,143
29,2018,600,152
30,2012,391,110
30,2013,374,81
30,2014,622,148
30,2015,611,144
30,2016,538,99
30,2017,360,64
30,2018,369,79
31,2012,326,107
31,2013,344,74
31,2014,331,100
31,2015,352,142
31,2016,540,170
31,2017,456,112
31,2018,429,108
32,2012,255,116
32,2013,253,97
32,2014,234,83
32,2015,239,128
32,2016,266,138
32,2017,289,120
32,2018,285,106
33,2012,77,47
33,2013,59,23
33,2014,78,34
33,2015,112,64
33,2016,140,82
33,2017,124,56
33,2018,99,40
34,2012,46,19
34,2013,55,13
34,2014,43,12
34,2015,63,28
34,2016,54,25
34,2017,44,18
34,2018,40,8
35,2012,289,99
35,2013,252,43
35,2014,242,66
35,2015,231,91
35,2016,290,118
35,2017,299,79
35,2018,217,70
36,2012,271,100
36,2013,234,60
36,2014,397,114
36,2015,395,110
36,2016,460,164
36,2017,381,122
36,2018,350,113
37,2012,308,91
37,2013,283,89
37,2014,285,84
37,2015,349,156
37,2016,493,228
37,2017,493,179
37,2018,363,89
38,2012,302,57
38,2013,323,57
38,2014,374,80
38,2015,388,91
38,2016,469,154
